profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
hernametyla,https://www.tiktok.com/@hernametyla/video/7501118253666815238?_r=1&_t=ZP-8xbIOS79WGM,4099999,312100,7724,1295,4.1M,312.1K,7724,1295,2025-06-29T15:51:46.657007
hernametyla,https://www.tiktok.com/@hernametyla/video/7500333050270633222?_r=1&_t=ZP-8xbIOS79WGM,2800000,324800,10500,2585,2.8M,324.8K,10.5K,2585,2025-06-29T15:51:58.273848
hernametyla,https://www.tiktok.com/@hernametyla/video/7496796327045647671?_r=1&_t=ZP-8xbIOS79WGM,3100000,386700,30100,2721,3.1M,386.7K,30.1K,2721,2025-06-29T15:52:12.060260
hernametyla,https://www.tiktok.com/@hernametyla/video/7496793329372318982?_r=1&_t=ZP-8xbIOS79WGM,2200000,212300,8062,853,2.2M,212.3K,8062,853,2025-06-29T15:52:26.847299
hernametyla,https://www.tiktok.com/@hernametyla/video/7495770415185382711?_r=1&_t=ZP-8xbIOS79WGM,5500000,663100,30900,2490,5.5M,663.1K,30.9K,2490,2025-06-29T15:52:43.371383
hernametyla,https://www.tiktok.com/@hernametyla/video/7495762146341571846?_r=1&_t=ZP-8xbIOS79WGM,17200000,1700000,51800,4096,17.2M,1.7M,51.8K,4096,2025-06-29T15:52:58.557106
hernametyla,https://www.tiktok.com/@hernametyla/video/7493719291817217288?_r=1&_t=ZP-8xbIOS79WGM,14000000,1600000,55600,5865,14M,1.6M,55.6K,5865,2025-06-29T15:53:13.625761
hernametyla,https://www.tiktok.com/@hernametyla/video/7492105570481147142?_r=1&_t=ZP-8xbIOS79WGM,1500000,86700,2051,560,1.5M,86.7K,2051,560,2025-06-29T15:53:28.121086
hernametyla,https://www.tiktok.com/@hernametyla/video/7488900523324624133?_r=1&_t=ZP-8xbIOS79WGM,5400000,590700,20700,2640,5.4M,590.7K,20.7K,2640,2025-06-29T15:53:42.913169
hernametyla,https://www.tiktok.com/@hernametyla/video/7481489112671833350?_r=1&_t=ZP-8xbIOS79WGM,9200000,824400,28900,5363,9.2M,824.4K,28.9K,5363,2025-06-29T15:53:56.964513
hernametyla,https://www.tiktok.com/@hernametyla/video/7481458121487961349?_r=1&_t=ZP-8xbIOS79WGM,19600000,2900000,136100,10100,19.6M,2.9M,136.1K,10.1K,2025-06-29T15:54:11.389068
hernametyla,https://www.tiktok.com/@hernametyla/video/7480527472220589367?_r=1&_t=ZP-8xbIOS79WGM,4000000,409500,14100,2512,4M,409.5K,14.1K,2512,2025-06-29T15:54:25.447809
hernametyla,https://www.tiktok.com/@hernametyla/video/7478065210767478071?_r=1&_t=ZP-8xbIOS79WGM,2700000,130100,6185,884,2.7M,130.1K,6185,884,2025-06-29T15:54:38.794675
hernametyla,https://www.tiktok.com/@hernametyla/video/7477936093195783430?_r=1&_t=ZP-8xbIOS79WGM,2800000,257500,10300,2001,2.8M,257.5K,10.3K,2001,2025-06-29T15:54:53.934480
hernametyla,https://www.tiktok.com/@hernametyla/video/7477468277036322054?_r=1&_t=ZP-8xbIOS79WGM,2100000,93300,3197,818,2.1M,93.3K,3197,818,2025-06-29T15:55:09.253818
hernametyla,https://www.tiktok.com/@hernametyla/video/7472850130207591735?_r=1&_t=ZP-8xbIOS79WGM,4200000,319500,15000,2386,4.2M,319.5K,15K,2386,2025-06-29T15:55:23.388063
hernametyla,https://www.tiktok.com/@hernametyla/video/7471297144897457463?_r=1&_t=ZP-8xbIOS79WGM,3200000,233900,8843,1534,3.2M,233.9K,8843,1534,2025-06-29T15:55:35.768354
hernametyla,https://www.tiktok.com/@hernametyla/video/7469895530865364230?_r=1&_t=ZP-8xbIOS79WGM,5000000,575700,20600,3558,5M,575.7K,20.6K,3558,2025-06-29T15:55:51.694445
hernametyla,https://www.tiktok.com/@hernametyla/video/7464252259845688582?_r=1&_t=ZP-8xbIOS79WGM,36700000,5500000,191700,21900,36.7M,5.5M,191.7K,21.9K,2025-06-29T15:56:06.669084
